Collector (PI),field_number,Genus,Species,subspecies,needs_confirmation,order,sex,mass (g),date,Country,Departament,Municipio,Locality,vereda,reserva,Latitude_Original,Longitude_Original,elevation,Ectoparasite_sample,Ectoparsite Sampling Method,Ecotparasite Box Location (Cold Storage),ectoparasites_box,lice_total,Ecomorph Notes,lice ages,feather_mites_total,ticks_total,flies_total,fleas_total,others,Column
GAM,1239,Leptotila,rufaxilla,,,Columbiformes,U,158,2013-12-04T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,B10",1,,ju,0,0,0,,0,
GAM,1213,Turdus,nudigenis,,,Passeriformes,U,62,2013-12-05T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,C3",50,,ba-ju-ad,0,0,0,,0,
GAM,1217,Chloroceryle,aenea,,,Coraciiformes,U,14,2013-12-05T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,C7",6,,ba-ju,0,0,0,,0,
GAM,1219,Emberizoides,herbicola,,,Passeriformes,U,27.25,2013-12-05T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"E1,I9",0,,0,0,1,0,,0,
GAM,JEA 1215,Turdus,nudigenis,,,Passeriformes,F,,2013-12-05T08:00:00Z,Colombia,Meta,Puerto Gaitan,"Puerto Gaitan, vda. Alto Manacacias, Fca. Manacacias",vda. Alto Manacacias,Fca. Manacacias,Buscar,Buscar,200-250,YES,,Universidad Icesi,"P2,D5",12,,ba-ju-ad,0,0,0,,0,
GAM,1218,Gymnomystax,mexicanus,,,Passeriformes,U,132,2013-12-06T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,E3",28,,ba-ju-ad,0,0,0,,0,
GAM,1227,Elaenia,chiriquensis,,,Passeriformes,U,13.5,2013-12-06T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,D6",10,,ba-ad,0,0,0,,0,
GAM,1228,Coereba,flaveola,,,Passeriformes,U,12.5,2013-12-06T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,E1",1,,ju,0,0,0,,0,
GAM,1229,Euphonia,laniirostris,,,Passeriformes,U,16,2013-12-06T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,C4",1,,ad,0,0,0,,0,
GAM,1230,Anthracothorax,nigricolis,,,Apodiformes,U,6.25,2013-12-06T08:00:00Z,Colombia,Meta,Puerto Gaitan,Puerto Gaitan,,,NA,NA,200-225,YES,,Universidad Icesi,"P2,D3",1,,ad,0,0,0,,0,
GAM,A91,Dendrocincla,fuliginosa,,,Passeriformes,U,36.18,2014-02-03T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1579,Glyphorynchus,spirurus,,,Passeriformes,U,14.11,2014-02-03T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C39,Catharus,ustulatus,,,Passeriformes,U,29.64,2014-02-03T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C44,Amazilia,sauceroteii,,,Apodiformes,F,10.34,2014-02-03T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Cyanocompsa,cyanoides,,,Passeriformes,M,23.91,2014-02-03T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Mionectes,oleagineus,,,Passeriformes,U,3.34,2014-02-03T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,A1,Ramphastos,citreolaemus,,,Piciformes,U,,2014-02-04T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,A91,Schiffornis,turdina,,,Passeriformes,U,,2014-02-04T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,A999,Glyphorynchus,spirurus,,,Passeriformes,U,,2014-02-04T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C2,Mionectes,oleagineus,,,Passeriformes,U,,2014-02-04T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,D2,Pipra,erythrocephala,,,Passeriformes,M,11.3,2014-02-04T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1502,Manacus,manacus,,,Passeriformes,U,15.18,2014-02-05T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1503,Machaeropterus,regulus,,,Passeriformes,M,10.2,2014-02-05T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1504,Gymnopithys,leucaspis,,,Passeriformes,U,,2014-02-05T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C598,Glyphorynchus,spirurus,,,Passeriformes,U,,2014-02-05T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E702,Phaethornis,longirostris,,,Apodiformes,U,7.49,2014-02-05T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,anthophilus,,,Apodiformes,U,5.1,2014-02-07T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Gymnopithys,leucaspis,,,Passeriformes,U,,2014-02-08T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,A1,Myrmeciza,exsul,,,Passeriformes,U,27.35,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B104,Pipra,erythrocephala,,,Passeriformes,F,13.01,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1503,Glyphorynchus,spirurus,,,Passeriformes,U,,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1505,Dendrocincla,fuliginosa,,,Passeriformes,U,34.75,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1507,Glyphorynchus,spirurus,,,Passeriformes,U,13.63,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C37,Piprites,chloris,,,Passeriformes,F,20.04,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E703,Manacus,manacus,,,Passeriformes,U,14.32,2014-02-10T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1506,Phaethornis,longirostris,,,Apodiformes,U,4.2,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1510,Trogon,rufus,,,Trogoniformes,F,,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C502,Eucometis,penicillata,,,Passeriformes,U,33.52,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C599,Phaethornis,longirostris,,,Apodiformes,U,8.13,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E705,Glyphorynchus,spirurus,,,Passeriformes,U,,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E706,Dendrocolaptes,sanctithomae,,,Passeriformes,U,82.45,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,F499,Eucometis,penicillata,,,Passeriformes,U,32.06,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Machaeropterus,regulus,,,Passeriformes,M,9.43,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Leptopogon,amaurocephalus,,,Passeriformes,U,13.23,2014-02-11T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1511,Terenotriccus,erythrurus,,,Passeriformes,U,12.54,2014-02-12T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1512,Thamnophilus,atrinucha,,,Passeriformes,U,25.88,2014-02-12T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C594,Pipra,erythrocephala,,,Passeriformes,U,11.1,2014-02-12T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C595,Terenotriccus,erythrurus,,,Passeriformes,U,12.55,2014-02-12T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C596,Dendrocincla,fuliginosa,,,Passeriformes,U,41.33,2014-02-12T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E707,Dendrocincla,fuliginosa,,,Passeriformes,U,42.27,2014-02-12T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1513,Thamnophilus,atrinucha,,,Passeriformes,U,22.76,2014-02-13T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1514,Glyphorynchus,spirurus,,,Passeriformes,U,21.05,2014-02-13T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1515,Dendrocincla,fuliginosa,,,Passeriformes,U,41.93,2014-02-13T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B593,Glyphorynchus,spirurus,,,Passeriformes,U,,2014-02-13T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C596,Gymnopithys,leucaspis,,,Passeriformes,U,32.54,2014-02-13T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E708,Phaethornis,longirostris,,,Apodiformes,U,7.31,2014-02-13T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,4L,Schiffornis,turdina,,,Passeriformes,U,35.55,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1516,Terenotriccus,erythrurus,,,Passeriformes,U,6.92,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1517,Manacus,manacus,,,Passeriformes,U,15.55,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1520,Arremon,aurantiirostros,,,Passeriformes,U,,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1579,Machaeropterus,regulus,,,Passeriformes,U,10,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C592,Phaethornis,longirostris,,,Apodiformes,U,7.52,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,D2,Schiffornis,turdina,,,Passeriformes,U,34.79,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E709,Gymnopithys,leucaspis,,,Passeriformes,U,41,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E710,Anabacerthia,striaticollis,,,Passeriformes,U,39,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E711,Anabacerthia,striaticollis,,,Passeriformes,U,44.38,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E712,Catharus,ustulatus,,,Passeriformes,U,29.5,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E713,Phaethornis,longirostris,,,Apodiformes,U,5.8,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E714,Phaethornis,longirostris,,,Apodiformes,U,7.48,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Manacus,manacus,,,Passeriformes,U,16.36,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Gymnopithys,leucaspis,,,Passeriformes,U,30.65,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Machaeropterus,regulus,,,Passeriformes,U,9.45,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,anthophilus,,,Apodiformes,U,5.5,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Pipra,erythrocephala,,,Passeriformes,U,12.1,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Glyphorynchus,spirurus,,,Passeriformes,U,14.55,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Manacus,manacus,,,Passeriformes,U,15.78,2014-02-14T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1518,Mionectes,oleagineus,,,Passeriformes,U,9.58,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1519,Phaethornis,longirostris,,,Apodiformes,U,8.21,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1521,Nonnula,frontalis,,,Galbuliformes,U,16.44,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1522,Phaethornis,longirostris,,,Apodiformes,U,7.4,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C590,Mionectes,oleagineus,,,Passeriformes,U,9.08,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C591,Nonnula,frontalis,,,Galbuliformes,U,15.69,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Phaethornis,anthophilus,,,Apodiformes,U,8.21,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Machaeropterus,regulus,,,Passeriformes,U,9.36,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Pipra,erythrocephala,,,Passeriformes,U,11.16,2014-02-15T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1524,Machaeropterus,regulus,,,Passeriformes,U,9.71,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,B1525,Leptopogon,amaurocephalus,,,Passeriformes,U,13.05,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,1",1,,,0,0,,,,
GAM,G398,Glyphorynchus,spirurus,,,Passeriformes,U,14.2,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,NA,Machaeropterus,regulus,,,Passeriformes,U,10.2,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,NA,Geotrygon,montana,,,Columbiformes,U,,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,5R5L,Schiffornis,turdina,,,Passeriformes,U,35.74,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1523,Manacus,manacus,,,Passeriformes,U,10.2,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1527,Phaethornis,longirostris,,,Apodiformes,U,7.78,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E713,Pipra,erythrocephala,,,Passeriformes,U,9.79,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,E715,Schiffornis,turdina,,,Passeriformes,U,34.57,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Arremon,aurantiirostros,,,Passeriformes,U,23.2,2014-02-17T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1528,Manacus,manacus,,,Passeriformes,U,16.58,2014-02-18T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1529,Nonnula,frontalis,,,Galbuliformes,U,15.72,2014-02-18T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1530,Glyphorynchus,spirurus,,,Passeriformes,U,14.58,2014-02-18T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C589,Pipra,erythrocephala,,,Passeriformes,U,13.45,2014-02-18T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,D2,Phaethornis,longirostris,,,Apodiformes,U,7.99,2014-02-18T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Epinecrophylla,fulviventris,,,Passeriformes,U,10.1,2014-02-18T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1502,Glyphorynchus,spirurus,,,Passeriformes,U,15.21,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,B1531,Mionectes,oleagineus,,,Passeriformes,U,9.56,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1532,Glyphorynchus,spirurus,,,Passeriformes,U,14.41,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1533,Glyphorynchus,spirurus,,,Passeriformes,U,15.21,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1534,Pipra,erythrocephala,,,Passeriformes,M,10.77,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1535,Mionectes,oleagineus,,,Passeriformes,U,9.98,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1536,Glyphorynchus,spirurus,,,Passeriformes,U,13.18,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,C586,Glyphorynchus,spirurus,,,Passeriformes,U,13.85,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Mionectes,oleagineus,,,Passeriformes,U,10.33,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,NA,Nonnula,frontalis,,,Galbuliformes,U,16.57,2014-02-19T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1532,Machaeropterus,regulus,,,Passeriformes,F,10.01,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,B1539,Manacus,manacus,,,Passeriformes,F,18.7,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,,0,,,0,0,,,,
GAM,B1540,Rhynchocyclus,olivaceus,,,Passeriformes,U,20.66,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,3",0,,,0,4.5,,,,
GAM,B1543,Mionectes,oleagineus,,,Passeriformes,U,7.85,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,YES,,Universidad Icesi,"E1,2",0,,,0,1,,,,
GAM,B1537,Phaethornis,longirostris,,,Apodiformes,U,7.29,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1538,Glyphorynchus,spirurus,,,Passeriformes,U,13.37,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1541,Thamnophilus,atrinucha,,,Passeriformes,M,23.06,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
GAM,B1542,Glyphorynchus,spirurus,,,Passeriformes,U,14.37,2014-02-20T08:00:00Z,Colombia,Antioquia,Remedios,Remedios,La cruz,La Brillantina,6°54.354',74°34.591',600,NO,,,,,,,,,,,,
